"Relative","Count","SrcBytes"
"BLDA\CharFace\CH0222","21","386380"
"BLDA\CharFace\CH0223","33","1215318"
"BLDA\CharFace\CH0224","19","529330"
"BLDA\CharFace\CH0225","20","482218"
"BLDA\CharFace\CH0226","21","596082"
"BLDA\CharFace\CH0227","28","953980"
"BLDA\CharFace\CH0228","17","581832"
"BLDA\CharFace\CH0229","22","698562"
"BLDA\CharFace\CH0230","22","700236"
"BLDA\CharFace\CH0231","18","551168"
"BLDA\CharFace\CH0232","16","520136"
"BLDA\CharFace\CH0233","18","437866"
"BLDA\CharFace\CH0234","15","435540"
"BLDA\CharFace\CH0235","16","416688"
"BLDA\CharFace\CH0236","16","557372"
"BLDA\CharFace\CH0238","18","496208"
"BLDA\CharFace\CH0239","12","296208"
"BLDA\CharFace\CH0240","22","809484"
"BLDA\CharFace\CH0241","50","1452716"
"BLDA\CharFace\CH0242","20","653690"
"BLDA\CharFace\CH0243","23","677094"
"BLDA\CharFace\CH0244","15","442798"
"BLDA\CharFace\CH0245","23","728230"
"BLDA\CharFace\CH0246","15","490186"
"BLDA\CharFace\CH0247","15","387140"
"BLDA\CharFace\CH0248","14","394658"
"BLDA\CharFace\CH0249","15","483908"
"BLDA\CharFace\CH0250","22","673258"
"BLDA\CharFace\CH0251","17","474608"
"BLDA\CharFace\CH0252","16","341004"
"BLDA\CharFace\CH0253","20","672582"
"BLDA\CharFace\CH0254","15","367974"
"BLDA\CharFace\CH0255","14","438786"
"BLDA\CharFace\CH0256","19","662278"
"BLDA\CharFace\CH0257","13","372300"
"BLDA\CharFace\CH0258","85","2504744"
"BLDA\CharFace\CH0259","39","1035180"
"BLDA\CharFace\CH0260","29","995692"
"BLDA\CharFace\CH0261","18","714688"
"BLDA\CharFace\CH0262","17","572894"
"BLDA\CharFace\CH0263","12","449264"
"BLDA\CharFace\CH0264","23","627144"
"BLDA\CharFace\CH0265","20","507232"
"BLDA\CharFace\CH0266","37","1169632"
"BLDA\CharFace\CH0267","35","983412"
"BLDA\CharFace\CH0268","13","403686"
"BLDA\CharFace\CH0269","21","793822"
"BLDA\CharFace\CH0270","16","452402"
"BLDA\CharFace\CH0271","15","464556"
"BLDA\CharFace\CH0272","24","634212"
"BLDA\CharFace\CH0273","37","915960"
"BLDA\CharFace\CH0274","45","1357926"
"BLDA\CharFace\CH0275","33","1102202"
"BLDA\CharFace\CH0276","41","1146298"
"BLDA\CharFace\CH0277","27","746252"
"BLDA\CharFace\CH0278","33","982684"
"BLDA\CharFace\CH0279","19","547420"
"BLDA\CharFace\CH0280","28","950350"
"BLDA\CharFace\CH0283","27","771846"
"BLDA\CharFace\CH0284","24","694910"
"BLDA\CharFace\CH0285","14","383480"
"BLDA\CharFace\CH0286","16","500364"
"BLDA\CharFace\CH0287","15","460766"
"BLDA\CharFace\CH0288","31","802466"
"BLDA\CharFace\CH0289","24","384620"
"BLDA\CharFace\CH0290","22","668980"
"BLDA\CharFace\CH0291","16","502212"
"BLDA\CharFace\CH0292","28","907490"
"BLDA\CharFace\CH0293","47","1531572"
"BLDA\CharFace\CH0294","32","733658"
"BLDA\CharFace\CH0295","19","628188"
"BLDA\CharFace\CH0296","17","455798"
"BLDA\CharFace\CH0297","18","497388"
"BLDA\CharFace\CH0298","17","481772"
"BLDA\CharFace\CH0300","28","651378"
"BLDA\CharFace\CH0301","23","659228"
"BLDA\CharFace\CH0302","30","1029700"
"BLDA\CharFace\CH0303","18","375140"
"BLDA\CharFace\CH0304","55","1466738"
"BLDA\CharFace\CH0305","33","1196730"
"BLDA\CharFace\CH0306","27","744014"
"BLDA\CharFace\CH0307","19","484396"
"BLDA\CharFace\CH0308","12","334868"
"BLDA\CharFace\CH0309","31","904992"
"BLDA\CharFace\CH0310","18","394026"
"BLDA\CharFace\CH0311","18","337994"
"BLDA\CharFace\CH0312","17","434542"
"BLDA\CharFace\CH0313","15","457304"
"BLDA\CharFace\CH0314","20","607546"
"BLDA\CharFace\CH0316","21","605444"
"BLDA\CharFace\CH0317","41","1182848"
"BLDA\CharFace\CH0318","38","1043970"
"BLDA\CharFace\CH0319","34","1102976"
"BLDA\CharFace\CH0323","19","506616"
"BLDA\CharFace\CH0324","26","658744"
"BLDA\CharFace\CH0325","27","798034"
"BLDA\CharFace\CH0326","28","1039420"
"BLDA\CharFace\CH0327","24","755840"
"BLDA\CharFace\CH0328","19","554782"
"BLDA\CharFace\CH0329","17","535566"
"BLDA\CharFace\CH0331","18","406658"
"BLDA\CharFace\CH0332","14","458434"
"BLDA\CharFace\CH0333","11","356104"
"BLDA\CharFace\CH0334","24","789376"
"BLDA\CharFace\CH0335","37","959088"
"BLDA\CharFace\CH0335_noweapon","36","931282"
"BLDA\CharFace\CH0336","15","456146"
"BLDA\CharFace\CH0337","22","593968"
"BLDA\CharFace\CH9996","18","488122"
"BLDA\CharFace\CH9997","15","422860"
"BLDA\CharFace\CH9998","22","646300"
"BLDA\CharFace\CH9999","18","608214"
"BLDA\CharFace\cherino","21","690724"
"BLDA\CharFace\chinatsu","11","442936"
"BLDA\CharFace\chise","13","434384"
"BLDA\CharFace\citizen_borot1","15","226036"
"BLDA\CharFace\Cook_GenbuStore_SG","12","372414"
"BLDA\CharFace\eimi","10","365512"
"BLDA\CharFace\erika","19","668562"
"BLDA\CharFace\fuuka","12","498278"
"BLDA\CharFace\fuuki_normal1","9","192192"
"BLDA\CharFace\hanae","10","395630"
"BLDA\CharFace\hanako","10","340796"
"BLDA\CharFace\hare","9","234450"
"BLDA\CharFace\haruka","17","475346"
"BLDA\CharFace\haruna","12","416850"
"BLDA\CharFace\hasumi","12","405332"
"BLDA\CharFace\hibiki","17","652250"
"BLDA\CharFace\hihumi","16","513920"
"BLDA\CharFace\hihumi_robber","10","183342"
"BLDA\CharFace\hina","24","782008"
"BLDA\CharFace\hinata","9","283948"
"BLDA\CharFace\hiyori","15","409482"
"BLDA\CharFace\hoshino","21","669230"
"BLDA\CharFace\hoshino_robber","10","284168"
"BLDA\CharFace\hoshino_swimsuit","25","773036"
"BLDA\CharFace\ibuki","21","822788"
"BLDA\CharFace\iori","11","387746"
"BLDA\CharFace\izumi","13","507482"
"BLDA\CharFace\izumi_swimsuit","14","475510"
"BLDA\CharFace\izuna","11","404004"
"BLDA\CharFace\juri","16","564878"
"BLDA\CharFace\Justice_normal1","7","121782"
"BLDA\CharFace\kaede","18","660742"
"BLDA\CharFace\karin","10","292480"
"BLDA\CharFace\kayoko","11","333292"
"BLDA\CharFace\kazusa","17","539866"
"BLDA\CharFace\kirara","15","647368"
"BLDA\CharFace\kirino","13","543924"
"BLDA\CharFace\koharu","16","556504"
"BLDA\CharFace\kotama","10","351650"
"BLDA\CharFace\kotori","10","387834"
"BLDA\CharFace\mai","10","412086"
"BLDA\CharFace\maki","11","315148"
"BLDA\CharFace\mari","13","326442"
"BLDA\CharFace\marina","16","385508"
"BLDA\CharFace\mashiro","10","270228"
"BLDA\CharFace\mashiro_swimsuit","11","364700"
"BLDA\CharFace\midori","14","535064"
"BLDA\CharFace\mimori","14","609666"
"BLDA\CharFace\minori","11","404880"
"BLDA\CharFace\misaki","45","1386886"
"BLDA\CharFace\miyako","16","543876"
"BLDA\CharFace\moe","22","876770"
"BLDA\CharFace\momiji","11","253756"
"BLDA\CharFace\momoi","12","504572"
"BLDA\CharFace\momoka","50","1726066"
"BLDA\CharFace\mutsuki","17","556562"
"BLDA\CharFace\mutsuki_newyear","13","381210"
"BLDA\CharFace\nagisa","28","842194"
"BLDA\CharFace\neru","14","555088"
"BLDA\CharFace\nodoka","11","254348"
"BLDA\CharFace\nonomi","23","822248"
"BLDA\CharFace\nonomi_robber","10","321930"
"BLDA\CharFace\NP0001","13","492496"
"BLDA\CharFace\NP0002","13","497918"
"BLDA\CharFace\NP0003","10","339380"
"BLDA\CharFace\NP0004","10","338614"
"BLDA\CharFace\NP0005","10","338550"
"BLDA\CharFace\NP0006","10","344338"
"BLDA\CharFace\NP0007","16","534826"
"BLDA\CharFace\NP0008","16","547130"
"BLDA\CharFace\NP0009","9","247398"
"BLDA\CharFace\NP0012","63","1758064"
"BLDA\CharFace\NP0013","19","374850"
"BLDA\CharFace\NP0014","12","381702"
"BLDA\CharFace\NP0015","26","688364"
"BLDA\CharFace\NP0017","8","270770"
"BLDA\CharFace\NP0019","20","695996"
"BLDA\CharFace\NP0020","13","477236"
"BLDA\CharFace\NP0021","11","272854"
"BLDA\CharFace\NP0022","9","207638"
"BLDA\CharFace\NP0023","10","197224"
"BLDA\CharFace\NP0024","10","260328"
"BLDA\CharFace\NP0025","10","149850"
"BLDA\CharFace\NP0026","10","287066"
"BLDA\CharFace\NP0027","10","247330"
"BLDA\CharFace\NP0028","9","200460"
"BLDA\CharFace\NP0029","3","97506"
"BLDA\CharFace\NP0030","15","182838"
"BLDA\CharFace\NP0031","6","142718"
"BLDA\CharFace\NP0032","11","390358"
"BLDA\CharFace\NP0033","24","596142"
"BLDA\CharFace\NP0035","37","976862"
"BLDA\CharFace\NP0036","9","204956"
"BLDA\CharFace\NP0037","15","468514"
"BLDA\CharFace\NP0038","15","389772"
"BLDA\CharFace\NP0040","28","812714"
"BLDA\CharFace\NP0041","33","1241300"
"BLDA\CharFace\NP0043","11","302162"
"BLDA\CharFace\NP0044","23","847158"
"BLDA\CharFace\NP0045","21","663388"
"BLDA\CharFace\NP0046","10","343762"
"BLDA\CharFace\NP0047","17","619106"
"BLDA\CharFace\NP0048","19","639230"
"BLDA\CharFace\NP0049","19","629272"
"BLDA\CharFace\NP0050","11","320256"
"BLDA\CharFace\NP0051","13","518388"
"BLDA\CharFace\NP0052","11","398968"
"BLDA\CharFace\NP0053","10","368160"
"BLDA\CharFace\NP0054","19","660798"
"BLDA\CharFace\NP0055","13","445114"
"BLDA\CharFace\NP0056","11","348484"
"BLDA\CharFace\NP0057","11","382706"
"BLDA\CharFace\NP0058","18","471126"
"BLDA\CharFace\NP0059","20","617274"
"BLDA\CharFace\NP0060","7","110318"
"BLDA\CharFace\NP0061","17","568948"
"BLDA\CharFace\NP0062","10","269426"
"BLDA\CharFace\NP0063","25","721168"
"BLDA\CharFace\NP0064","10","269042"
"BLDA\CharFace\NP0065","21","540792"
"BLDA\CharFace\NP0066","20","615274"
"BLDA\CharFace\NP0067","26","593006"
"BLDA\CharFace\NP0068","10","391858"
"BLDA\CharFace\NP0069","10","396334"
"BLDA\CharFace\NP0070","14","454836"
"BLDA\CharFace\NP0071","16","421662"
"BLDA\CharFace\NP0072","32","982994"
"BLDA\CharFace\NP0073","21","695672"
"BLDA\CharFace\NP0075","11","420392"
"BLDA\CharFace\NP0076","12","438576"
"BLDA\CharFace\NP0077","11","307522"
"BLDA\CharFace\NP0078","11","456506"
"BLDA\CharFace\NP0079","16","484602"
"BLDA\CharFace\NP0080","11","484396"
"BLDA\CharFace\NP0081","12","372930"
"BLDA\CharFace\NP0082","12","312888"
"BLDA\CharFace\NP0084","17","457456"
"BLDA\CharFace\NP0088","14","627284"
"BLDA\CharFace\NP0089","14","592548"
"BLDA\CharFace\NP0090","16","546792"
"BLDA\CharFace\NP0091","4","81384"
"BLDA\CharFace\NP0092","3","36370"
"BLDA\CharFace\NP0093","3","35698"
"BLDA\CharFace\NP0094","3","32280"
"BLDA\CharFace\NP0097","20","516666"
"BLDA\CharFace\NP0098","15","424988"
"BLDA\CharFace\NP0099","19","453904"
"BLDA\CharFace\NP0100","33","1028370"
"BLDA\CharFace\NP0101","33","961600"
"BLDA\CharFace\NP0102","33","1063942"
"BLDA\CharFace\NP0105","13","508212"
"BLDA\CharFace\NP0106","11","377756"
"BLDA\CharFace\NP0107","11","254860"
"BLDA\CharFace\NP0108","19","415528"
"BLDA\CharFace\NP0109","11","328978"
"BLDA\CharFace\NP0110","10","267658"
"BLDA\CharFace\NP0111","18","565116"
"BLDA\CharFace\NP0112","16","463768"
"BLDA\CharFace\NP0118","11","326752"
"BLDA\CharFace\NP0119","15","267468"
"BLDA\CharFace\NP0121","11","296632"
"BLDA\CharFace\NP0123","11","342238"
"BLDA\CharFace\NP0124","21","771448"
"BLDA\CharFace\NP0125","12","484136"
"BLDA\CharFace\NP0129","27","698604"
"BLDA\CharFace\NP0130","30","839354"
"BLDA\CharFace\NP0131","26","524714"
"BLDA\CharFace\NP0134","11","286122"
"BLDA\CharFace\NP0138","13","341330"
"BLDA\CharFace\NP0139","16","576120"
"BLDA\CharFace\NP0140","16","513028"
"BLDA\CharFace\NP0141","20","679176"
"BLDA\CharFace\NP0142","6","113044"
"BLDA\CharFace\NP0147","18","355472"
"BLDA\CharFace\NP0148","19","299320"
"BLDA\CharFace\NP0149","9","276742"
"BLDA\CharFace\NP0150","8","188788"
"BLDA\CharFace\NP0151","12","458476"
"BLDA\CharFace\NP0152","7","215454"
"BLDA\CharFace\NP0156","8","198362"
"BLDA\CharFace\NP0157","8","217292"
"BLDA\CharFace\NP0158","11","348546"
"BLDA\CharFace\NP0159","10","259344"
"BLDA\CharFace\NP0161","16","237748"
"BLDA\CharFace\NP0164","20","545998"
"BLDA\CharFace\NP0166","25","743070"
"BLDA\CharFace\NP0167","50","1563626"
"BLDA\CharFace\NP0169","15","410980"
"BLDA\CharFace\NP0171","11","344706"
"BLDA\CharFace\NP0172","11","312990"
"BLDA\CharFace\NP0173","31","903342"
"BLDA\CharFace\NP0174","20","798238"
"BLDA\CharFace\NP0175","17","626312"
"BLDA\CharFace\NP0176","23","860084"
"BLDA\CharFace\NP0177","15","520602"
"BLDA\CharFace\NP0178","15","590220"
"BLDA\CharFace\NP0179","85","2591058"
"BLDA\CharFace\NP0181","9","241102"
"BLDA\CharFace\NP0182","11","361940"
"BLDA\CharFace\NP0195","11","343842"
"BLDA\CharFace\NP0204","31","930336"
"BLDA\CharFace\NP0205","9","241812"
"BLDA\CharFace\NP0206","37","978936"
"BLDA\CharFace\NP0216","22","544050"
"BLDA\CharFace\NP0217","18","528230"
"BLDA\CharFace\NP0218","20","564592"
"BLDA\CharFace\NP0219","20","656212"
"BLDA\CharFace\NP0220","17","495232"
"BLDA\CharFace\NP0221","18","486508"
"BLDA\CharFace\NP0222","24","627254"
"BLDA\CharFace\NP0223","18","476782"
"BLDA\CharFace\NP0225","28","851582"
"BLDA\CharFace\NP0226","23","570534"
"BLDA\CharFace\NP0227","17","405360"
"BLDA\CharFace\NP0228","17","612298"
"BLDA\CharFace\NP0229","37","994392"
"BLDA\CharFace\NP0231","12","405566"
"BLDA\CharFace\NP0232","12","367100"
"BLDA\CharFace\NP0233","17","555720"
"BLDA\CharFace\NP0234","13","344322"
"BLDA\CharFace\NP0235","31","882232"
"BLDA\CharFace\NP0236","23","734170"
"BLDA\CharFace\NP0237","18","632694"
"BLDA\CharFace\NP0240","13","190024"
"BLDA\CharFace\NP0241","29","652324"
"BLDA\CharFace\NP0244","2","30824"
"BLDA\CharFace\NP0245","8","246614"
"BLDA\CharFace\NP0246","18","559778"
"BLDA\CharFace\NP0248","15","499890"
"BLDA\CharFace\NP0251","17","526634"
"BLDA\CharFace\NP0252","11","263416"
"BLDA\CharFace\NP0253","11","231668"
"BLDA\CharFace\NP0254","16","547300"
"BLDA\CharFace\NP0255","9","260126"
"BLDA\CharFace\NP0256","13","336088"
"BLDA\CharFace\NP0257","11","330222"
"BLDA\CharFace\NP0262","27","306204"
"BLDA\CharFace\NP0263","2","32858"
"BLDA\CharFace\NP0267","31","597464"
"BLDA\CharFace\NP0268","23","474920"
"BLDA\CharFace\NP0269","22","557606"
"BLDA\CharFace\NP0276","10","404086"
"BLDA\CharFace\NP0278","13","365844"
"BLDA\CharFace\NP0281","24","839878"
"BLDA\CharFace\NP0282","2","36208"
"BLDA\CharFace\pina","12","401046"
"BLDA\CharFace\Police_Valkyrie_SG","12","336420"
"BLDA\CharFace\reizyo","22","712698"
"BLDA\CharFace\rin","87","2606662"
"BLDA\CharFace\sakurako","16","577372"
"BLDA\CharFace\saori","63","1693282"
"BLDA\CharFace\saya","11","440050"
"BLDA\CharFace\saya_casual","10","326530"
"BLDA\CharFace\schoolGirl01_SukebanSwim_SMG","10","330264"
"BLDA\CharFace\schoolGirl02_SukebanSwim_MG","10","262496"
"BLDA\CharFace\sena","10","326118"
"BLDA\CharFace\serika","17","571868"
"BLDA\CharFace\serika_newyear","18","637112"
"BLDA\CharFace\serika_robber","17","563386"
"BLDA\CharFace\serika_shibaseki","16","506744"
"BLDA\CharFace\serina","10","406104"
"BLDA\CharFace\shigure","15","512678"
"BLDA\CharFace\shimiko","10","432818"
"BLDA\CharFace\shinon","12","478798"
"BLDA\CharFace\shiroko","21","789680"
"BLDA\CharFace\shiroko_ridingsuit","10","440272"
"BLDA\CharFace\shiroko_robber","21","694452"
"BLDA\CharFace\shizuko","10","423088"
"BLDA\CharFace\shun","18","456196"
"BLDA\CharFace\Soldier_OnsenDev_RL","9","290552"
"BLDA\CharFace\sora","30","863806"
"BLDA\CharFace\sukeban_HMG","10","330848"
"BLDA\CharFace\sukeban_SMG","10","288026"
"BLDA\CharFace\sukeban_SR","10","226320"
"BLDA\CharFace\sumire","17","576260"
"BLDA\CharFace\suzumi","10","423936"
"BLDA\CharFace\tomoe","10","303204"
"BLDA\CharFace\Tsubaki","14","455440"
"BLDA\CharFace\tsurugi","18","529776"
"BLDA\CharFace\utaha","11","360172"
"BLDA\CharFace\wakamo","15","532526"
"BLDA\CharFace\yoheki_normal1","4","111704"
"BLDA\CharFace\yoheki_redwinter1","4","96328"
"BLDA\CharFace\yoshimi","14","544178"
"BLDA\CharFace\Yukata_StreetGhostes_RL","8","307894"
"BLDA\CharFace\yuuka","11","321588"
"BLDA\CharFace\yuzu","12","536620"
"BLDA\CharFace\zunko","19","594674"
"CBJQ\CharFace\boss103","11","206856"
"CBJQ\CharFace\di18","6","61670"
"CBJQ\CharFace\girl001","12","234146"
"CBJQ\CharFace\girl001_01","8","148798"
"CBJQ\CharFace\girl001_02","12","221048"
"CBJQ\CharFace\girl001a","12","261618"
"CBJQ\CharFace\girl001a_03_gacha","14","499812"
"CBJQ\CharFace\girl001a_gacha","16","413464"
"CBJQ\CharFace\girl001b","12","279308"
"CBJQ\CharFace\girl001b_02_gacha","26","700756"
"CBJQ\CharFace\girl001b_gacha","22","716000"
"CBJQ\CharFace\girl001b_lv2","5","100732"
"CBJQ\CharFace\girl002","14","286246"
"CBJQ\CharFace\girl002_01","12","223218"
"CBJQ\CharFace\girl002a","12","242102"
"CBJQ\CharFace\girl002a_01_q","7","126402"
"CBJQ\CharFace\girl002a_02","13","351350"
"CBJQ\CharFace\girl002a_02_gacha","18","579966"
"CBJQ\CharFace\girl002a_03_gacha","6","146808"
"CBJQ\CharFace\girl002a_gacha","15","390242"
"CBJQ\CharFace\girl002b","13","241390"
"CBJQ\CharFace\girl002b_02_gacha","25","696904"
"CBJQ\CharFace\girl002b_gacha","6","138732"
"CBJQ\CharFace\girl003","17","289676"
"CBJQ\CharFace\girl003_01","17","292536"
"CBJQ\CharFace\girl003a","17","285336"
"CBJQ\CharFace\girl003a_02_gacha","12","352280"
"CBJQ\CharFace\girl003a_03_gacha","12","352280"
"CBJQ\CharFace\girl003a_gacha","3","79438"
"CBJQ\CharFace\girl004","17","432464"
"CBJQ\CharFace\girl004_01","17","384130"
"CBJQ\CharFace\girl004_02","17","415764"
"CBJQ\CharFace\girl004a","17","439458"
"CBJQ\CharFace\girl004a_02_gacha","8","213496"
"CBJQ\CharFace\girl004a_03_gacha","9","240282"
"CBJQ\CharFace\girl004a_gacha","16","398592"
"CBJQ\CharFace\girl004b","17","389740"
"CBJQ\CharFace\girl004b_04_gacha","8","350516"
"CBJQ\CharFace\girl004b_gacha","3","77890"
"CBJQ\CharFace\girl005","15","316864"
"CBJQ\CharFace\girl005_01","15","289948"
"CBJQ\CharFace\girl005a","15","329866"
"CBJQ\CharFace\girl005a_01_q","7","109838"
"CBJQ\CharFace\girl005a_03_gacha","14","694262"
"CBJQ\CharFace\girl005a_gacha","12","326948"
"CBJQ\CharFace\girl005b","15","317032"
"CBJQ\CharFace\girl005b_02","15","287902"
"CBJQ\CharFace\girl005b_02_gacha","17","530496"
"CBJQ\CharFace\girl005b_03","15","558064"
"CBJQ\CharFace\girl005b_gacha","6","174710"
"CBJQ\CharFace\girl005c","15","353898"
"CBJQ\CharFace\girl005c_02_gacha","17","514100"
"CBJQ\CharFace\girl005c_gacha","3","71492"
"CBJQ\CharFace\girl006","16","339742"
"CBJQ\CharFace\girl006_01","15","308890"
"CBJQ\CharFace\girl006a","15","320654"
"CBJQ\CharFace\girl006a_02_gacha","9","241218"
"CBJQ\CharFace\girl006a_gacha","3","92414"
"CBJQ\CharFace\girl006b","15","340446"
"CBJQ\CharFace\girl006b_02_gacha","13","378510"
"CBJQ\CharFace\girl006b_gacha","3","73226"
"CBJQ\CharFace\girl007","13","304014"
"CBJQ\CharFace\girl007_01","6","135978"
"CBJQ\CharFace\girl007_02","11","221312"
"CBJQ\CharFace\girl007a","11","278976"
"CBJQ\CharFace\girl007a_02_gacha","10","230298"
"CBJQ\CharFace\girl007a_03","6","128070"
"CBJQ\CharFace\girl007a_04","11","273648"
"CBJQ\CharFace\girl007a_05_gacha","17","400944"
"CBJQ\CharFace\girl007a_gacha","8","198404"
"CBJQ\CharFace\girl008","12","338734"
"CBJQ\CharFace\girl008_01","13","368190"
"CBJQ\CharFace\girl008_02","12","349978"
"CBJQ\CharFace\girl008a","12","312296"
"CBJQ\CharFace\girl008a_01_q","7","138688"
"CBJQ\CharFace\girl008a_03_gacha","6","178286"
"CBJQ\CharFace\girl008a_04_gacha","9","285294"
"CBJQ\CharFace\girl008a_gacha","3","81292"
"CBJQ\CharFace\girl008b","13","325700"
"CBJQ\CharFace\girl008b_02","2","72982"
"CBJQ\CharFace\girl008b_03_gacha","11","289762"
"CBJQ\CharFace\girl008b_gacha","6","170528"
"CBJQ\CharFace\girl008c","13","374040"
"CBJQ\CharFace\girl008c_02","4","125790"
"CBJQ\CharFace\girl008c_02_gacha","11","354382"
"CBJQ\CharFace\girl008c_03_gacha","10","340398"
"CBJQ\CharFace\girl008c_gacha","6","198762"
"CBJQ\CharFace\girl010","18","334884"
"CBJQ\CharFace\girl010_01","18","296464"
"CBJQ\CharFace\girl010a","18","387844"
"CBJQ\CharFace\girl010a_03_gacha","15","399882"
"CBJQ\CharFace\girl010a_04_gacha","26","593948"
"CBJQ\CharFace\girl010a_gacha","12","306964"
"CBJQ\CharFace\girl010b","18","333160"
"CBJQ\CharFace\girl010b_02_gacha_01","34","981748"
"CBJQ\CharFace\girl010b_03_gacha","11","216550"
"CBJQ\CharFace\girl010b_gacha","3","53098"
"CBJQ\CharFace\girl011","15","335148"
"CBJQ\CharFace\girl011_01","15","299978"
"CBJQ\CharFace\girl011_02","15","291406"
"CBJQ\CharFace\girl011_02_gacha","8","145104"
"CBJQ\CharFace\girl011a","15","309924"
"CBJQ\CharFace\girl011a_02_gacha","11","270744"
"CBJQ\CharFace\girl011a_03","15","355684"
"CBJQ\CharFace\girl011a_03_gacha","8","290746"
"CBJQ\CharFace\girl011a_gacha","8","206818"
